country,year,indicator,value
South Africa,2005,gdp_per_capita_usd,5500
South Africa,2010,gdp_per_capita_usd,7500
South Africa,2015,gdp_per_capita_usd,6000
South Africa,2020,gdp_per_capita_usd,6000
South Africa,2000,life_expectancy_years,57.0
South Africa,2005,life_expectancy_years,53.0
South Africa,2010,life_expectancy_years,57.0
South Africa,2015,life_expectancy_years,63.0
South Africa,2020,life_expectancy_years,65.0
South Africa,2000,school_enrollment_primary_percent,88.0
South Africa,2005,school_enrollment_primary_percent,90.0
South Africa,2010,school_enrollment_primary_percent,92.0
South Africa,2015,school_enrollment_primary_percent,94.0
South Africa,2020,school_enrollment_primary_percent,96.0
South Africa,2000,water_access_percent,80.0
South Africa,2005,water_access_percent,84.0
South Africa,2010,water_access_percent,86.0
South Africa,2015,water_access_percent,88.0
South Africa,2020,water_access_percent,90.0

